"DateTime","Container","Dry Bulk","General Cargo","Roll-on/roll-off","Tanker","7-day Moving Average","Prior Year: 7-day Moving Average"
"2019-01-01 00:00:00",0,0,0,0,0,,
"2019-01-02 00:00:00",0,0,0,0,0,,
"2019-01-03 00:00:00",0,0,0,0,0,,
"2019-01-04 00:00:00",0,0,0,0,0,,
"2019-01-05 00:00:00",0,0,0,0,0,,
"2019-01-06 00:00:00",6811,0,0,0,0,,
"2019-01-07 00:00:00",2683,0,0,0,0,1356.2857142857142,
"2019-01-08 00:00:00",0,0,0,0,0,1356.2857142857142,
"2019-01-09 00:00:00",0,0,0,0,0,1356.2857142857142,
"2019-01-10 00:00:00",2683,0,0,0,0,1739.5714285714287,
"2019-01-11 00:00:00",0,0,0,0,0,1739.5714285714287,
"2019-01-12 00:00:00",0,0,0,0,0,1739.5714285714287,
"2019-01-13 00:00:00",0,0,0,0,0,766.5714285714286,
"2019-01-14 00:00:00",0,0,0,0,0,383.2857142857143,
"2019-01-15 00:00:00",0,0,0,0,0,383.2857142857143,
"2019-01-16 00:00:00",0,0,0,0,0,383.2857142857143,
"2019-01-17 00:00:00",12977,0,0,0,0,1853.857142857143,
"2019-01-18 00:00:00",0,0,0,0,0,1853.857142857143,
"2019-01-19 00:00:00",0,0,3368,0,0,2335,
"2019-01-20 00:00:00",0,0,0,0,0,2335,
"2019-01-21 00:00:00",0,0,0,0,0,2335,
"2019-01-22 00:00:00",0,0,0,0,0,2335,
"2019-01-23 00:00:00",0,0,0,0,0,2335,
"2019-01-24 00:00:00",0,0,0,0,0,481.14285714285717,
"2019-01-25 00:00:00",0,0,0,0,0,481.14285714285717,
"2019-01-26 00:00:00",8843,0,0,0,0,1263.2857142857142,
"2019-01-27 00:00:00",0,0,0,0,0,1263.2857142857142,
"2019-01-28 00:00:00",0,0,0,0,0,1263.2857142857142,
"2019-01-29 00:00:00",0,0,0,0,0,1263.2857142857142,
"2019-01-30 00:00:00",0,0,0,0,0,1263.2857142857142,
"2019-01-31 00:00:00",0,0,0,0,0,1263.2857142857142,
"2019-02-01 00:00:00",4888,0,1961,0,0,2241.714285714286,
"2019-02-02 00:00:00",0,0,0,0,0,978.4285714285714,
"2019-02-03 00:00:00",0,0,0,0,0,978.4285714285714,
"2019-02-04 00:00:00",0,0,4572,0,0,1631.5714285714287,
"2019-02-05 00:00:00",0,0,0,0,0,1631.5714285714287,
"2019-02-06 00:00:00",0,0,0,0,0,1631.5714285714287,
"2019-02-07 00:00:00",0,0,0,0,0,1631.5714285714287,
"2019-02-08 00:00:00",2314,0,0,0,0,983.7142857142857,
"2019-02-09 00:00:00",0,0,0,0,0,983.7142857142857,
"2019-02-10 00:00:00",0,0,0,0,0,983.7142857142857,
"2019-02-11 00:00:00",0,0,0,0,0,330.57142857142856,
"2019-02-12 00:00:00",0,0,0,0,0,330.57142857142856,
"2019-02-13 00:00:00",0,0,0,0,0,330.57142857142856,
"2019-02-14 00:00:00",0,16545,0,0,0,2694.1428571428573,
"2019-02-15 00:00:00",0,0,0,0,0,2363.5714285714284,
"2019-02-16 00:00:00",0,0,0,0,0,2363.5714285714284,
"2019-02-17 00:00:00",0,0,0,0,0,2363.5714285714284,
"2019-02-18 00:00:00",0,0,0,0,0,2363.5714285714284,
"2019-02-19 00:00:00",0,0,1961,0,0,2643.714285714286,
"2019-02-20 00:00:00",0,0,0,0,0,2643.714285714286,
"2019-02-21 00:00:00",0,0,0,0,0,280.14285714285717,
"2019-02-22 00:00:00",2683,0,0,0,0,663.4285714285714,
